"method","coverage","length","KS_lo","KS_up","type","exprid"
"quantBART",0.312,0.1006,0.0743713763563002,0.108475623041606,"Inexact",1
"quantBART",0.3192,0.09688,0.0625546231325737,0.0979332170689804,"Inexact",1
"quantBART",0.315,0.0968,0.0893983219352751,0.144900964918274,"Inexact",1
"quantBART",0.326,0.10752,0.0343604625834487,0.0566367120106781,"Inexact",1
"quantBART",0.323,0.11264,0.191356755817728,0.218397952453229,"Inexact",1
"quantBART",0.327,0.1204,0.314910980840348,0.227753466684628,"Inexact",1
"quantBART",0.3222,0.10264,0.183255527296254,0.0569685206255717,"Inexact",1
"quantBART",0.3146,0.10376,0.110566514833994,0.0758707286236339,"Inexact",1
"quantBART",0.3158,0.09952,0.07131381475832,0.0748379939457159,"Inexact",1
"quantBART",0.3156,0.10356,0.16105011211714,0.0624205017354174,"Inexact",1
"quantRF",0.3224,0.10584,0.0763760415433841,0.160617946071948,"Inexact",1
"quantRF",0.3208,0.11296,0.0790525576251232,0.0796233887057777,"Inexact",1
"quantRF",0.3162,0.10856,0.093149740066985,0.0429448204328865,"Inexact",1
"quantRF",0.314,0.09868,0.10446174069712,0.069954217929683,"Inexact",1
"quantRF",0.3096,0.10008,0.46295279854985,0.0395675255801609,"Inexact",1
"quantRF",0.3158,0.09972,0.0904448579158083,0.0716771941631219,"Inexact",1
"quantRF",0.3078,0.09672,0.144294641470934,0.122204016678865,"Inexact",1
"quantRF",0.3222,0.11096,0.0599169251471745,0.196228015830889,"Inexact",1
"quantRF",0.3218,0.10244,0.152988587499503,0.209956962048197,"Inexact",1
"quantRF",0.312,0.09636,0.0787467708700899,0.172170018862911,"Inexact",1
"quantRF",0.3166,0.09992,0.0636182834106384,0.27540504997551,"Inexact",1
"quantRF",0.311,0.09524,0.089182129860096,0.109965364202652,"Inexact",1
"quantRF",0.3052,0.09932,0.228904524462887,0.110060683131428,"Inexact",1
"quantRF",0.3182,0.09768,0.1564475951759,0.0776059275466442,"Inexact",1
"quantRF",0.3226,0.10308,0.0868010205251632,0.0677010889590412,"Inexact",1
"quantRF",0.3132,0.1054,0.0421039275517747,0.0818607002120702,"Inexact",1
"quantRF",0.3098,0.09892,0.189603718385666,0.0558497710236139,"Inexact",1
"quantRF",0.317,0.10568,0.118542085812391,0.0600162098106194,"Inexact",1
"quantRF",0.3174,0.08436,0.117612981907579,0.171279681047421,"Inexact",1
"quantRF",0.3178,0.1078,0.0692260975246141,0.0969420248136298,"Inexact",1
"quantRF",0.3178,0.11,0.148038042837411,0.0916092538559609,"Inexact",1
"quantRF",0.326,0.10704,0.0935376220308592,0.21232539348726,"Inexact",1
"quantRF",0.3272,0.11652,0.151951996536691,0.0926580897962808,"Inexact",1
"quantRF",0.314,0.10392,0.173722951371931,0.117746283699321,"Inexact",1
"quantRF",0.31,0.09624,0.0815520354911244,0.108482255222754,"Inexact",1
"quantRF",0.3166,0.10132,0.0901494577299021,0.266708692534503,"Inexact",1
"quantRF",0.3232,0.1042,0.091001362567955,0.0565902777585063,"Inexact",1
"quantRF",0.316,0.1096,0.30143486224445,0.120096023076248,"Inexact",1
"quantRF",0.316,0.09124,0.0736002348431712,0.131635062924186,"Inexact",1
"quantRF",0.3182,0.09572,0.066584067699957,0.158744190732375,"Inexact",1
"quantRF",0.3188,0.10732,0.157519145723223,0.201859562075289,"Inexact",1
"quantRF",0.3104,0.10176,0.0861123442994862,0.0921650583750608,"Inexact",1
"quantRF",0.3174,0.10168,0.0616864609390565,0.162028479401412,"Inexact",1
